,model,location,km,cost
0,"Maruti Suzuki Alto 800 LXI, 2010, Petrol","ROHINI, DELHI","2010 - 59,298 km","₹ 1,66,467"
1,"Honda Jazz 1.5 VX i DTEC, 2009","BARAH DEVI CHAURAHA, KANPUR","2009 - 54,000 km","₹ 5,45,577"
2,"Datsun GO T, 2017, Petrol","INFOCITY, AHMEDABAD","2017 - 66,336 km","₹ 2,60,000"
3,Hyundai Grand i10 2017 Petrol 13750 Km Driven,"NEW PANVEL, NAVI MUMBAI","2017 - 13,750 km","₹ 4,49,000"
4,Hyundai Elite i20 sportz 2018 Petrol 25000 Km Driven,"PASCHIM VIHAR, DELHI","2018 - 25,000 km","₹ 5,90,000"
5,"Maruti Suzuki Wagon R LXI, 2006, Petrol","T NAGAR, CHENNAI","2006 - 66,000 km","₹ 1,90,000"
6,"Hyundai i10, 2010, Petrol","MYLAPORE, CHENNAI","2010 - 48,000 km","₹ 2,55,000"
7,"Honda City i-VTEC SV, 2009, Petrol","MYLAPORE, CHENNAI","2009 - 143,000 km","₹ 3,70,000"
8,"Hyundai Creta 1.6 CRDi SX, 2017, Diesel","KHANDAGIRI, BHUBANESHWAR","2017 - 62,135 km","₹ 8,60,000"
9,Toyota Innova Crysta 2017,"SAPTA, MADHUBANI","2017 - 33,000 km","₹ 16,00,000"
10,MG Hector plus 2020 Good Condition,"HARI NAGAR, DELHI","2020 - 20,000 km","₹ 18,10,008"
11,"Hyundai EON D Lite Plus, 2012, Petrol","JALUKBARI, GUWAHATI","2012 - 52,000 km","₹ 1,90,000"
12,Mint condition,"GOLDEN CITY GUNJAL WADI, SANGAMNER","2012 - 130,000 km","₹ 4,50,000"
13,Mahindra Xylo 2011 Diesel 100000 Km Driven,"JIWAJIGANJ, MORENA","2011 - 100,000 km","₹ 3,00,000"
14,"Kia Seltos HTX IVT G, 2020, Petrol","ASHOK VIHAR, DELHI","2020 - 29,000 km","₹ 15,73,000"
15,"Maruti Suzuki Wagon R 2006-2010 LXI Minor, 2008, CNG & Hybrids","THANE WEST, THANE","2008 - 63,454 km","₹ 1,40,000"
16,"Maruti Suzuki Swift VXI, 2016, Petrol","SECTOR 51, NOIDA",2016 - 52 km,"₹ 4,41,919"
17,"Hyundai i20 1.2 Asta, 2012, Petrol","NARILA SHANKARI CHATRASHAL NAGAR, BHOPAL","2012 - 27,000 km","₹ 4,10,000"
18,Tata Manza 2011 Diesel,"RATALI, NIPANI","2011 - 160,000 km","₹ 3,00,000"
19,Maruti Suzuki Swift 2006 Petrol 72000 Km Driven,"LOKHAI, LEHRAGAGA","2006 - 72,000 km","₹ 1,55,000"
20,Maruti Suzuki Ertiga 2019,"SUBASH NAGAR, DURG","2019 - 19,000 km","₹ 10,11,000"
21,Maruti Suzuki Swift 2014 Diesel 730000 Km Driven,"CHARAMA, CHHATTISGARH","2014 - 730,000 km","₹ 4,10,000"
22,Okay condition,"BLOCK F, GREATER NOIDA","2004 - 68,000 km","₹ 40,000"
23,Maruti Suzuki Gypsy 1986,"KHAJRANA, INDORE","1986 - 100,000 km","₹ 1,35,000"
24,Excellent i10 car,"HATIGAON, GUWAHATI","2012 - 51,235 km","₹ 2,25,000"
25,Yellow board Tata Indigo Ecs 2018 Diesel 130 Km Driven,"SARAM, PUDUCHERRY",2018 - 130 km,"₹ 2,75,000"
26,Chevrolet Spark 2011 CNG &amp; Hybrids,"WHITEFIELD, BENGALURU","2011 - 90,000 km","₹ 1,20,000"
27,Roof Carrier for Car,"SECTOR 13, GURGAON","2018 - 38,500 km","₹ 3,000"
28,"Maruti Suzuki S-Cross Delta 1.3, 2018, Diesel","BORIJ VILLAGE, GANDHINAGAR","2018 - 42,909 km","₹ 9,25,000"
29,"Honda WR-V Others, 2018, Diesel","HIMAYAT NAGAR, HYDERABAD","2007 - 78,000 km","₹ 9,39,000"
30,"Maruti Suzuki Wagon R 2006-2010 LXI Minor, 2007, Petrol","RAJAJI NAGAR, BENGALURU","2010 - 90,000 km","₹ 1,70,000"
31,Toyota Corolla Altis Cng on paper and Touch screen Android system,"CHATHAMPARA, ALAMCODE THIRUVANANTHAPURAM DISTRICT","2014 - 88,000 km","₹ 3,50,000"
32,Chevrolet Beat 2014 Diesel Well Maintainedy,"NOIDA EXTENSION, NOIDA","2012 - 48,000 km","₹ 3,10,000"
33,Maruti Suzuki Alto K10 vxi 2012 Petrol Well Maintained,"MYSORE, MYSURU","2013 - 84,000 km","₹ 2,20,000"
34,Mahindra Xuv500 2013,"ADARSH VIHAR, HERBERTPUR","2011 - 56,000 km","₹ 4,55,000"
35,"Hyundai Accent GLE, 2011, Petrol","DWARKA, DELHI","2011 - 117,000 km","₹ 2,55,000"
36,Volkswagen Vento 2011 Diesel 117000 Km Driven,"KAMAKSHIPALYA, BENGALURU","2009 - 92,000 km","₹ 2,30,000"
37,HAROON KHOKAR,"QILA REHMATGARH, MALERKOTLA","2011 - 126,000 km","₹ 2,90,000"
38,"Maruti Suzuki Swift Dzire VDI, 2011, Diesel","INDUSTRIAL AREA PHATEPUR, FATEHPUR","2015 - 2,100 km","₹ 3,25,000"
