,model,km,cost
0,2015 Honda Brio 1.2 VX AT I VTEC,"23,037kmPetrol2nd Owner","₹ 3,89,799"
1,2017 Maruti Alto 800 LXI,"9,527kmPetrol1st Owner","₹ 3,09,299"
2,2017 Maruti Swift VXI,"12,848kmPetrol1st Owner","₹ 4,68,899"
3,2017 Maruti Alto 800 LXI,"8,501kmPetrol1st Owner","₹ 3,09,499"
4,2017 Hyundai Grand i10 Sportz(O) 1.2 MT,"19,994kmPetrol2nd Owner","₹ 4,52,899"
5,2015 Maruti Alto K10 LXI,"10,957kmPetrol1st Owner","₹ 3,02,099"
6,2019 Maruti Baleno SIGMA 1.2 K12,"14,584kmPetrol1st Owner","₹ 5,05,099"
7,2019 Maruti Swift LXI,"8,997kmPetrol1st Owner","₹ 5,15,199"
8,2017 Maruti Swift VXI,"15,891kmPetrol1st Owner","₹ 5,62,999"
9,2014 Maruti Ritz VDI Elate Limited Edition,"29,959kmDiesel1st Owner","₹ 3,79,699"
10,2017 Maruti Swift LXI OPT,"15,528kmPetrol1st Owner","₹ 4,54,399"
11,2013 Maruti Swift VDI,"11,019kmDiesel1st Owner","₹ 3,71,399"
12,2016 Mahindra Kuv100 K6+ 6 STR,"13,499kmPetrol1st Owner","₹ 3,91,899"
13,2017 Maruti Alto K10 VXI (O) AMT,"9,036kmPetrol1st Owner","₹ 3,60,699"
14,2010 Maruti Alto LXI,"29,645kmPetrol1st Owner","₹ 1,85,299"
15,2012 Maruti Swift LXI,"31,999kmPetrol1st Owner","₹ 3,21,499"
16,2010 Maruti Swift VXI,"27,473kmPetrol1st Owner","₹ 2,70,899"
17,2014 Maruti Alto 800 LXI,"31,745kmPetrol1st Owner","₹ 2,58,999"
18,2017 Maruti Swift VDI ABS,"16,646kmDiesel1st Owner","₹ 4,79,299"
19,2012 Maruti Swift ZXI,"15,538kmPetrol1st Owner","₹ 4,44,699"
20,2012 Honda Brio 1.2 S MT I VTEC,"39,831kmPetrol2nd Owner","₹ 2,81,799"
21,2013 Maruti Swift Dzire VDI BS IV,"44,284kmDiesel1st Owner","₹ 3,75,499"
22,2013 Hyundai Grand i10 MAGNA 1.2 VTVT,"40,273kmPetrol1st Owner","₹ 3,43,299"
23,2019 Maruti Swift VXI,"14,327kmPetrol1st Owner","₹ 5,56,199"
24,2016 Maruti Alto 800 LXI,"21,305kmPetrol1st Owner","₹ 3,05,899"
25,2017 Maruti Alto K10 VXI (O) AMT,"20,764kmPetrol2nd Owner","₹ 3,69,299"
26,2012 Maruti Swift VXI,"34,092kmPetrol1st Owner","₹ 3,29,399"
27,2011 Maruti Zen Estilo LXI,"39,300kmPetrol2nd Owner","₹ 1,97,599"
28,2010 Maruti Alto LXI,"56,231kmPetrol2nd Owner","₹ 1,74,199"
29,2021 Maruti Alto VXI,"1,473kmPetrol1st Owner","₹ 3,80,299"
30,2010 Maruti A Star VXI ABS AT,"24,699kmPetrol1st Owner","₹ 2,31,799"
31,2011 Toyota Etios VX,"49,654kmPetrol2nd Owner","₹ 3,16,399"
32,2011 Maruti Alto K10 VXI,"24,353kmPetrol1st Owner","₹ 2,08,799"
33,2013 Maruti Alto K10 VXI,"36,750kmPetrol1st Owner","₹ 2,10,699"
34,2013 Maruti Swift Dzire VDI BS IV,"39,947kmDiesel1st Owner","₹ 4,02,599"
35,2015 Maruti Swift VDI ABS,"29,903kmDiesel1st Owner","₹ 4,47,099"
36,2013 Maruti Swift VDI,"50,647kmDiesel2nd Owner","₹ 3,42,499"
37,2012 Maruti Alto K10 LXI,"33,175kmPetrol1st Owner","₹ 2,40,799"
38,2020 Maruti IGNIS SIGMA 1.2 K12,"2,206kmPetrol1st Owner","₹ 5,04,099"
39,2012 Maruti Swift VDI,"35,969kmDiesel1st Owner","₹ 3,25,099"
40,2010 Maruti Zen Estilo VXI,"50,189kmPetrol2nd Owner","₹ 1,73,499"
41,2016 Maruti Baleno DELTA 1.2 K12,"35,013kmPetrol1st Owner","₹ 4,59,099"
42,2013 Maruti Swift Dzire VXI 1.2 BS IV,"43,289kmPetrol1st Owner","₹ 3,89,099"
43,2013 Hyundai Grand i10 MAGNA 1.2 VTVT,"43,986kmPetrol1st Owner","₹ 3,82,299"
44,2014 Maruti Swift VXI,"37,333kmPetrol1st Owner","₹ 4,12,899"
45,2012 Maruti Swift VDI,"47,140kmDiesel1st Owner","₹ 3,26,099"
46,2010 Maruti Ritz LXI,"26,740kmPetrol1st Owner","₹ 2,41,999"
47,2010 Maruti Wagon R 1.0 LXI,"45,029kmPetrol1st Owner","₹ 1,85,999"
